"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","664","BK-166: signin PAT can be used to authenticate subsequent API calls","sandbox","2026-08-15","passed","2026-08-15","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","269","BK-166: Reject login with invalid credentials","integration","2026-08-15","passed","2026-08-15","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","237","BK-4: POST /api/v1/workspaces rejects reserved slug → 422","sandbox","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","232","BK-4: POST /api/v1/workspaces rejects name < 3 chars → 422","sandbox","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","3731","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-15","passed","2026-08-15","","teardown/global.teardown.ts","",""
"","497","BK-156: PATCH /atcs/{id} happy path with X-If-Match","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","267","BK-306: POST /tests rejects empty atc_ids with 422","integration","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","205","BK-14: POST /api/v1/modules/{id}/user-stories rejects empty body → 422","sandbox","2026-08-15","passed","2026-08-15","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","446","BK-166: Re-authenticate and obtain new token","integration","2026-08-15","passed","2026-08-15","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","1127","BK-154: POST /atcs validates request body boundaries","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","233","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","integration","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","295","BK-14: POST /modules/{id}/user-stories rejects empty body → 422","integration","2026-08-15","passed","2026-08-15","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","823","BK-309: POST /tests with Idempotency-Key returns same test on retry","integration","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","220","BK-307: POST /tests rejects whitespace-only title with 422","integration","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","194","BK-166: POST /api/v1/auth/check-email returns exists=false for unknown email","sandbox","2026-08-15","passed","2026-08-15","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","168","BK-14: POST /api/v1/modules/{id}/user-stories returns 401 without auth","sandbox","2026-08-15","passed","2026-08-15","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","281","BK-166: GET /api/v1/me returns user info with valid PAT token","sandbox","2026-08-15","passed","2026-08-15","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","226","BK-169: GET /api/v1/imports/{id} returns job status","sandbox","2026-08-15","passed","2026-08-15","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","836","BK-149: POST /atcs works for all layer values (UI, API, Unit)","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","532","BK-156: PATCH /atcs/{id} cascade-replaces children (BK-96 regression)","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","220","BK-173: POST /api/v1/imports rejects missing jql → 422","sandbox","2026-08-15","passed","2026-08-15","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","228","BK-4: POST /workspaces rejects reserved slug → 422","integration","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","491","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","275","BK-166: POST /api/v1/auth/signin with wrong password returns 401","sandbox","2026-08-15","passed","2026-08-15","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","251","BK-152: POST /atcs rejects module outside user story subtree with 422","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","228","BK-14: POST /api/v1/modules/{id}/user-stories rejects title < 3 → 422","sandbox","2026-08-15","passed","2026-08-15","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","3","BK-234: Auto-sync — new defect syncs and carries external ID","integration","2026-08-15","skipped","2026-08-15","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","188","BK-150: POST /atcs rejects invalid token with 401","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","195","BK-173: POST /api/v1/imports rejects missing project_id → 422","sandbox","2026-08-15","passed","2026-08-15","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","234","BK-307: POST /tests rejects 201-character title with 422","integration","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","708","BK-8: POST /api/v1/workspaces/{id}/projects rejects duplicate slug → 409","sandbox","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","203","BK-8: POST /api/v1/workspaces/{id}/projects rejects name < 3 → 422","sandbox","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","1212","BK-305: POST /tests creates a test chaining 3 ATCs","integration","2026-08-15","passed","2026-08-15","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","242","BK-166: POST /api/v1/auth/signin with non-existent email returns 401","sandbox","2026-08-15","passed","2026-08-15","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","1","BK-246: Workspace isolation — defects scoped to correct workspace","integration","2026-08-15","skipped","2026-08-15","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","509","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","sandbox","2026-08-15","passed","2026-08-15","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-08-15","passed","2026-08-15","","setup/global.setup.ts","",""
"","68","BK-166: Unauthenticated request returns 401","integration","2026-08-15","passed","2026-08-15","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","282","BK-8: POST /api/v1/workspaces/{id}/projects rejects non-member → 403","sandbox","2026-08-15","passed","2026-08-15","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
