"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","BK-4: POST /workspaces rejects reserved slug → 422","smoke","2026-09-20","passed","2026-09-20","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","120","BK-150: POST /atcs rejects unauthenticated request with 401","smoke","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","221","BK-308: POST /tests returns 404 for non-existent ATC IDs","smoke","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","554","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","316","BK-166: Reject login with invalid credentials","smoke","2026-09-20","passed","2026-09-20","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","118","BK-150: POST /atcs rejects unauthenticated request with 401","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","346","BK-160: PATCH /atcs/{id} keeps slug, user_story_id and module_id immutable","smoke","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","441","BK-156: PATCH /atcs/{id} happy path with X-If-Match","smoke","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","159","BK-150: POST /atcs rejects token lacking atc:write scope with 403","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","169","BK-307: POST /tests rejects empty title with 422","integration","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","2324","BK-314: should reject sign in with invalid credentials","e2e-auth","2026-09-20","passed","2026-09-20","BK-166: Login E2E","e2e/auth/login.test.ts","",""
"","158","BK-307: POST /tests rejects 201-character title with 422","integration","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","168","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","smoke","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","373","BK-159: PATCH /atcs/{id} with identical payload returns 200 but still bumps version","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","738","BK-149: POST /atcs works for all layer values (UI, API, Unit)","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","149","BK-4: POST /workspaces rejects name < 3 chars → 422","integration","2026-09-20","passed","2026-09-20","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","553","BK-309: POST /tests with Idempotency-Key returns same test on retry","integration","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","421","BK-305: POST /tests allows duplicate ATC IDs in chain","integration","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","354","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","195","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","smoke","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","180","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","integration","2026-09-20","passed","2026-09-20","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","829","BK-305: POST /tests creates a test chaining 3 ATCs","integration","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","387","BK-305: POST /tests allows duplicate ATC IDs in chain","smoke","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","1974","lists my workspaces with role and a single active marker","e2e","2026-09-20","passed","2026-09-20","BK-89: Settings > Workspaces","e2e/settings/settings-pages.test.ts","",""
"","610","Session token resolves the current user","e2e","2026-09-20","passed","2026-09-20","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","393","BK-156: PATCH /atcs/{id} happy path with X-If-Match","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","145","BK-307: POST /tests rejects whitespace-only title with 422","integration","2026-09-20","passed","2026-09-20","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","434","Session token lists workspaces","smoke","2026-09-20","passed","2026-09-20","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","99","BK-166: Unauthenticated request returns 401","smoke","2026-09-20","passed","2026-09-20","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","2349","cancelling a revoke keeps the token active","e2e","2026-09-20","passed","2026-09-20","BK-88: Settings > Tokens","e2e/settings/settings-pages.test.ts","",""
"","561","BK-157: PATCH /atcs/{id} rejects stale X-If-Match → 409","smoke","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","291","BK-166: Reject login with invalid credentials","integration","2026-09-20","passed","2026-09-20","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","2","BK-234: Auto-sync — new defect syncs and carries external ID","integration","2026-09-20","skipped","2026-09-20","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","141","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","smoke","2026-09-20","passed","2026-09-20","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","281","BK-166: Get current user with valid token from api-state.json","integration","2026-09-20","passed","2026-09-20","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","592","BK-166: Re-authenticate and obtain new token","smoke","2026-09-20","passed","2026-09-20","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","506","Session token lists workspaces","e2e","2026-09-20","passed","2026-09-20","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","176","BK-8: POST /workspaces/{id}/projects creates project → 201","smoke","2026-09-20","passed","2026-09-20","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","598","BK-157: PATCH /atcs/{id} rejects stale X-If-Match → 409","integration","2026-09-20","passed","2026-09-20","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","328","BK-8: POST /workspaces/{id}/projects rejects duplicate name → 409","smoke","2026-09-20","passed","2026-09-20","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
