"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101","BK-4: POST /workspaces rejects reserved slug → 422","smoke","2026-09-16","passed","2026-09-16","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","273","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","smoke","2026-09-16","passed","2026-09-16","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","1","BK-247: External link — synced defect carries link back to Bunkai","integration","2026-09-16","skipped","2026-09-16","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","131","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","smoke","2026-09-16","passed","2026-09-16","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","2903","UI Setup: authenticate via UI","ui-setup","2026-09-16","passed","2026-09-16","","setup/ui-auth.setup.ts","",""
"","75","BK-166: Unauthenticated request returns 401","integration","2026-09-16","passed","2026-09-16","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","107","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","smoke","2026-09-16","passed","2026-09-16","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","2075","BK-314: should reject sign in with invalid credentials","e2e-auth","2026-09-16","passed","2026-09-16","BK-166: Login E2E","e2e/auth/login.test.ts","",""
"","65","BK-166: Unauthenticated request returns 401","smoke","2026-09-16","passed","2026-09-16","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","111","BK-306: POST /tests rejects empty atc_ids with 422","smoke","2026-09-16","passed","2026-09-16","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","0","BK-247: External link — synced defect carries link back to Bunkai","smoke","2026-09-16","skipped","2026-09-16","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","154","BK-8: POST /workspaces/{id}/projects creates project → 201","integration","2026-09-16","passed","2026-09-16","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
