"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1228","BK-305: POST /tests creates a test chaining 3 ATCs","integration","2026-09-19","passed","2026-09-19","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","339","BK-166: Get current user with valid token from api-state.json","smoke","2026-09-19","passed","2026-09-19","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","240","BK-4: POST /workspaces rejects name < 3 chars → 422","smoke","2026-09-19","passed","2026-09-19","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","250","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","integration","2026-09-19","passed","2026-09-19","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","297","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","smoke","2026-09-19","passed","2026-09-19","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","866","BK-157: PATCH /atcs/{id} rejects stale X-If-Match → 409","smoke","2026-09-19","passed","2026-09-19","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","204","BK-150: POST /atcs rejects invalid token with 401","integration","2026-09-19","passed","2026-09-19","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","1","BK-240: Re-sync idempotency — no duplicate external items","integration","2026-09-19","skipped","2026-09-19","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","303","BK-14: POST /modules/{id}/user-stories creates story → 201","integration","2026-09-19","passed","2026-09-19","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","599","BK-156: PATCH /atcs/{id} cascade-replaces children (BK-96 regression)","smoke","2026-09-19","passed","2026-09-19","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","619","BK-156: PATCH /atcs/{id} happy path with X-If-Match","integration","2026-09-19","passed","2026-09-19","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","532","BK-4: POST /workspaces rejects duplicate slug → 409","integration","2026-09-19","passed","2026-09-19","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","180","BK-14: POST /modules/{id}/user-stories returns 401 without auth","integration","2026-09-19","passed","2026-09-19","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","273","BK-152: POST /atcs rejects module outside user story subtree with 422","smoke","2026-09-19","passed","2026-09-19","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","466","BK-166: Reject login with invalid credentials","smoke","2026-09-19","passed","2026-09-19","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","4","BK-8: POST /workspaces/{id}/projects rejects non-member → 403","integration","2026-09-19","skipped","2026-09-19","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
