"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","BK-307: POST /tests rejects whitespace-only title with 422","smoke","2026-09-22","passed","2026-09-22","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","563","Session token resolves the current user","smoke","2026-09-22","passed","2026-09-22","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","2198","BK-314: should reject sign in with invalid credentials","e2e-auth","2026-09-22","passed","2026-09-22","BK-166: Login E2E","e2e/auth/login.test.ts","",""
"","2","BK-234: Auto-sync — new defect syncs and carries external ID","smoke","2026-09-22","skipped","2026-09-22","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","196","BK-14: POST /modules/{id}/user-stories returns 404 for non-existent module","integration","2026-09-22","passed","2026-09-22","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","761","BK-166: Re-authenticate and obtain new token","integration","2026-09-22","passed","2026-09-22","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","108","BK-307: POST /tests rejects empty title with 422","smoke","2026-09-22","passed","2026-09-22","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","217","BK-306: POST /tests rejects empty atc_ids with 422","smoke","2026-09-22","passed","2026-09-22","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","689","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","integration","2026-09-22","passed","2026-09-22","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","60","BK-310: POST /tests rejects unauthenticated request with 401","integration","2026-09-22","passed","2026-09-22","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","265","BK-4: POST /workspaces creates workspace with name+slug → 201","smoke","2026-09-22","passed","2026-09-22","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","104","BK-307: POST /tests rejects empty title with 422","integration","2026-09-22","passed","2026-09-22","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","67","BK-150: POST /atcs rejects invalid token with 401","integration","2026-09-22","passed","2026-09-22","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","165","BK-8: POST /workspaces/{id}/projects creates project → 201","integration","2026-09-22","passed","2026-09-22","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","233","BK-166: Reject login with invalid credentials","integration","2026-09-22","passed","2026-09-22","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","0","BK-247: External link — synced defect carries link back to Bunkai","smoke","2026-09-22","skipped","2026-09-22","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","9258","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-22","passed","2026-09-22","","teardown/global.teardown.ts","",""
"","211","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","smoke","2026-09-22","passed","2026-09-22","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
