"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","563","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","smoke","2026-09-18","passed","2026-09-18","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","197","BK-310: POST /tests rejects unauthenticated request with 401","integration","2026-09-18","passed","2026-09-18","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","1","BK-241: Auth boundary — permanent auth failure stops retries","integration","2026-09-18","skipped","2026-09-18","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","192","BK-166: Unauthenticated request returns 401","integration","2026-09-18","passed","2026-09-18","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-09-18","passed","2026-09-18","","setup/global.setup.ts","",""
"","226","BK-4: POST /workspaces rejects name < 3 chars → 422","integration","2026-09-18","passed","2026-09-18","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","1227","BK-153: POST /atcs rejects steps with non-increasing positions","integration","2026-09-18","passed","2026-09-18","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","296","BK-8: POST /workspaces/{id}/projects creates project → 201","integration","2026-09-18","passed","2026-09-18","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","264","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","smoke","2026-09-18","passed","2026-09-18","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","242","BK-307: POST /tests rejects 201-character title with 422","smoke","2026-09-18","passed","2026-09-18","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","639","BK-4: DB persistence — created workspace appears in GET /workspaces list","integration","2026-09-18","passed","2026-09-18","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","256","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","smoke","2026-09-18","passed","2026-09-18","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","241","BK-150: POST /atcs rejects token lacking atc:write scope with 403","integration","2026-09-18","passed","2026-09-18","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","2","BK-234: Auto-sync — new defect syncs and carries external ID","smoke","2026-09-18","skipped","2026-09-18","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","559","Session token lists workspaces","e2e","2026-09-18","passed","2026-09-18","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","380","BK-307: POST /tests rejects empty title with 422","integration","2026-09-18","passed","2026-09-18","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","201","BK-150: POST /atcs rejects unauthenticated request with 401","smoke","2026-09-18","passed","2026-09-18","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","3","BK-8: POST /workspaces/{id}/projects rejects non-member → 403","integration","2026-09-18","skipped","2026-09-18","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","221","BK-4: POST /workspaces rejects reserved slug → 422","smoke","2026-09-18","passed","2026-09-18","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
