"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","BK-150: POST /atcs rejects unauthenticated request with 401","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","188","BK-171: POST /api/v1/imports returns 401 without auth","sandbox","2026-08-21","passed","2026-08-21","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","264","BK-169: GET /api/v1/imports/{id} returns job status","sandbox","2026-08-21","passed","2026-08-21","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","302","BK-14: POST /api/v1/modules/{id}/user-stories returns 404 for non-existent module","sandbox","2026-08-21","passed","2026-08-21","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","585","BK-159: PATCH /atcs/{id} with identical payload returns 200 but still bumps version","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1","BK-241: Auth boundary — permanent auth failure stops retries","integration","2026-08-21","skipped","2026-08-21","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","188","BK-310: POST /tests rejects unauthenticated request with 401","integration","2026-08-21","passed","2026-08-21","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","294","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","214","BK-166: POST /api/v1/auth/check-email returns exists=false for unknown email","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","714","BK-166: Re-authenticate and obtain new token","integration","2026-08-21","passed","2026-08-21","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","187","BK-14: POST /modules/{id}/user-stories returns 401 without auth","integration","2026-08-21","passed","2026-08-21","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","376","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","242","BK-14: POST /api/v1/modules/{id}/user-stories rejects empty body → 422","sandbox","2026-08-21","passed","2026-08-21","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","594","BK-149: POST /atcs works for all layer values (UI, API, Unit)","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","612","BK-305: POST /tests allows duplicate ATC IDs in chain","integration","2026-08-21","passed","2026-08-21","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","454","BK-166: Get current user with valid token from api-state.json","integration","2026-08-21","passed","2026-08-21","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","212","BK-166: GET /api/v1/me returns 401 without auth","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","221","BK-4: POST /api/v1/workspaces rejects reserved slug → 422","sandbox","2026-08-21","passed","2026-08-21","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","718","BK-166: signin PAT can be used to authenticate subsequent API calls","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","583","BK-156: PATCH /atcs/{id} happy path with X-If-Match","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","398","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","409","BK-156: PATCH /atcs/{id} cascade-replaces children (BK-96 regression)","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","490","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","240","BK-173: POST /api/v1/imports rejects empty body → 422","sandbox","2026-08-21","passed","2026-08-21","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","384","BK-150: POST /atcs rejects token lacking atc:write scope with 403","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","450","BK-166: POST /api/v1/auth/signin with valid credentials returns user+session+PAT","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","544","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","831","BK-153: POST /atcs rejects steps with non-increasing positions","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","3","BK-234: Auto-sync — new defect syncs and carries external ID","integration","2026-08-21","skipped","2026-08-21","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","567","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","1264","BK-305: POST /tests creates a test chaining 3 ATCs","integration","2026-08-21","passed","2026-08-21","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","185","BK-152: POST /atcs rejects module outside user story subtree with 422","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","229","BK-166: POST /api/v1/auth/check-email returns exists+confirmed for existing user","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","2103","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-21","passed","2026-08-21","","teardown/global.teardown.ts","",""
"","261","BK-14: POST /modules/{id}/user-stories rejects title < 3 → 422","integration","2026-08-21","passed","2026-08-21","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","337","BK-14: POST /api/v1/modules/{id}/user-stories creates story → 201","sandbox","2026-08-21","passed","2026-08-21","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","332","BK-166: GET /api/v1/me returns user info with valid PAT token","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","224","BK-307: POST /tests rejects 201-character title with 422","integration","2026-08-21","passed","2026-08-21","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","1301","BK-154: POST /atcs validates request body boundaries","sandbox","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","556","BK-4: POST /api/v1/workspaces rejects duplicate slug → 409","sandbox","2026-08-21","passed","2026-08-21","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","234","BK-173: POST /api/v1/imports rejects missing project_id → 422","sandbox","2026-08-21","passed","2026-08-21","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","368","BK-156: PATCH /atcs/{id} happy path with X-If-Match","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","316","BK-308: POST /tests returns 404 for non-existent ATC IDs","integration","2026-08-21","passed","2026-08-21","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","205","BK-166: POST /api/v1/auth/signin with non-existent email returns 401","sandbox","2026-08-21","passed","2026-08-21","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","519","BK-8: POST /api/v1/workspaces/{id}/projects rejects duplicate slug → 409","sandbox","2026-08-21","passed","2026-08-21","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","242","BK-14: POST /api/v1/modules/{id}/user-stories rejects title < 3 → 422","sandbox","2026-08-21","passed","2026-08-21","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","269","BK-150: POST /atcs rejects token lacking atc:write scope with 403","integration","2026-08-21","passed","2026-08-21","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
