"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","218","BK-4: POST /api/v1/workspaces rejects name < 3 chars → 422","sandbox","2026-07-11","passed","2026-07-11","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","222","BK-14: POST /api/v1/modules/{id}/user-stories rejects title < 3 → 422","sandbox","2026-07-11","passed","2026-07-11","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","215","BK-4: POST /api/v1/workspaces rejects reserved slug → 422","sandbox","2026-07-11","passed","2026-07-11","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","990","BK-149: POST /atcs works for all layer values (UI, API, Unit)","sandbox","2026-07-11","passed","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","535","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","sandbox","2026-07-11","passed","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","321","BK-150: POST /atcs rejects invalid token with 401","sandbox","2026-07-11","passed","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","250","BK-8: POST /api/v1/workspaces/{id}/projects rejects non-member → 403","sandbox","2026-07-11","passed","2026-07-11","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","552","BK-8: POST /api/v1/workspaces/{id}/projects rejects duplicate slug → 409","sandbox","2026-07-11","passed","2026-07-11","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","4","BK-150: POST /atcs rejects token lacking atc:write scope with 403","sandbox","2026-07-11","skipped","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","275","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","sandbox","2026-07-11","passed","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","224","BK-8: POST /api/v1/workspaces/{id}/projects rejects name < 3 → 422","sandbox","2026-07-11","passed","2026-07-11","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","760","BK-156: PATCH /atcs/{id} happy path with X-If-Match","sandbox","2026-07-11","passed","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","2401","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","sandbox","2026-07-11","passed","2026-07-11","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
