"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","BK-307: POST /tests rejects 201-character title with 422","integration","2026-08-14","passed","2026-08-14","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","233","BK-307: POST /tests rejects whitespace-only title with 422","integration","2026-08-14","passed","2026-08-14","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","885","BK-157: PATCH /atcs/{id} rejects stale X-If-Match → 409","sandbox","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","874","BK-309: POST /tests with Idempotency-Key returns same test on retry","integration","2026-08-14","passed","2026-08-14","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","233","BK-173: POST /api/v1/imports rejects missing jql → 422","sandbox","2026-08-14","passed","2026-08-14","BK-17: Jira Import API","integration/jira-import/jira-import.sandbox.ts","",""
"","222","BK-8: POST /workspaces/{id}/projects creates project → 201","integration","2026-08-14","passed","2026-08-14","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","366","BK-4: POST /workspaces rejects duplicate slug → 409","integration","2026-08-14","passed","2026-08-14","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","135","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","integration","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","518","BK-160: PATCH /atcs/{id} keeps slug, user_story_id and module_id immutable","sandbox","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","588","BK-305: POST /tests allows duplicate ATC IDs in chain","integration","2026-08-14","passed","2026-08-14","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","342","BK-4: POST /workspaces creates workspace with name+slug → 201","integration","2026-08-14","passed","2026-08-14","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","311","BK-166: GET /api/v1/me returns user info with valid PAT token","sandbox","2026-08-14","passed","2026-08-14","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","211","BK-14: POST /modules/{id}/user-stories returns 401 without auth","integration","2026-08-14","passed","2026-08-14","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","146","BK-150: POST /atcs rejects token lacking atc:write scope with 403","integration","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","664","BK-166: signin PAT can be used to authenticate subsequent API calls","sandbox","2026-08-14","passed","2026-08-14","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","209","BK-166: POST /api/v1/auth/check-email returns exists+confirmed for existing user","sandbox","2026-08-14","passed","2026-08-14","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","249","BK-14: POST /modules/{id}/user-stories rejects title < 3 → 422","integration","2026-08-14","passed","2026-08-14","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","425","BK-8: POST /workspaces/{id}/projects rejects duplicate name → 409","integration","2026-08-14","passed","2026-08-14","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","70","BK-150: POST /atcs rejects invalid token with 401","integration","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","249","BK-8: POST /api/v1/workspaces/{id}/projects creates project → 201","sandbox","2026-08-14","passed","2026-08-14","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","519","BK-153: POST /atcs rejects steps with non-increasing positions","integration","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","104","BK-166: Unauthenticated request returns 401","integration","2026-08-14","passed","2026-08-14","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","326","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","integration","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","260","BK-14: POST /modules/{id}/user-stories rejects empty body → 422","integration","2026-08-14","passed","2026-08-14","BK-14: User Stories API","integration/user-story/user-story.test.ts","",""
"","74","BK-150: POST /atcs rejects unauthenticated request with 401","integration","2026-08-14","passed","2026-08-14","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
