"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","384","BK-156: PATCH /atcs/{id} cascade-replaces children (BK-96 regression)","integration","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","640","BK-149: POST /atcs works for all layer values (UI, API, Unit)","integration","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","173","BK-152: POST /atcs rejects module outside user story subtree with 422","smoke","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","476","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","integration","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","4","BK-8: POST /workspaces/{id}/projects rejects non-member → 403","smoke","2026-09-17","skipped","2026-09-17","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","148","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","integration","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","141","BK-307: POST /tests rejects whitespace-only title with 422","smoke","2026-09-17","passed","2026-09-17","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","161","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","smoke","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","140","BK-307: POST /tests rejects empty title with 422","integration","2026-09-17","passed","2026-09-17","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","135","BK-306: POST /tests rejects empty atc_ids with 422","smoke","2026-09-17","passed","2026-09-17","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","241","BK-166: Get current user with valid token from api-state.json","integration","2026-09-17","passed","2026-09-17","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","2","BK-234: Auto-sync — new defect syncs and carries external ID","integration","2026-09-17","skipped","2026-09-17","Defect Sync (BK-372/BK-373) — /defects not deployed","integration/defects/defect-sync.test.ts","",""
"","106","BK-166: Unauthenticated request returns 401","smoke","2026-09-17","passed","2026-09-17","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","354","BK-159: PATCH /atcs/{id} with identical payload returns 200 but still bumps version","integration","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","528","Session token resolves the current user","smoke","2026-09-17","passed","2026-09-17","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","140","BK-307: POST /tests rejects whitespace-only title with 422","integration","2026-09-17","passed","2026-09-17","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","340","BK-159: PATCH /atcs/{id} with identical payload returns 200 but still bumps version","smoke","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","109","BK-310: POST /tests rejects unauthenticated request with 401","smoke","2026-09-17","passed","2026-09-17","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","174","BK-307: POST /tests rejects 201-character title with 422","integration","2026-09-17","passed","2026-09-17","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","368","BK-166: Reject login with invalid credentials","integration","2026-09-17","passed","2026-09-17","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","362","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","smoke","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","188","BK-149: POST /atcs creates an ATC with steps, assertions, slug and version 1","smoke","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","377","BK-156: PATCH /atcs/{id} happy path with X-If-Match","smoke","2026-09-17","passed","2026-09-17","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
