"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","145","BK-8: POST /workspaces/{id}/projects creates project → 201","integration","2026-09-23","passed","2026-09-23","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","534","BK-154: POST /atcs validates request body boundaries","smoke","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","60","BK-310: POST /tests rejects unauthenticated request with 401","smoke","2026-09-23","passed","2026-09-23","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","111","BK-150: POST /atcs rejects token lacking atc:write scope with 403","smoke","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","61","BK-166: Unauthenticated request returns 401","integration","2026-09-23","passed","2026-09-23","BK-166: User Session API","integration/auth/user-session.test.ts","",""
"","110","BK-307: POST /tests rejects whitespace-only title with 422","integration","2026-09-23","passed","2026-09-23","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","311","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","integration","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","160","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","smoke","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","70","BK-4: POST /workspaces rejects unauthenticated → 401","integration","2026-09-23","passed","2026-09-23","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","130","BK-307: POST /tests rejects 201-character title with 422","integration","2026-09-23","passed","2026-09-23","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","513","Session token resolves the current user","smoke","2026-09-23","passed","2026-09-23","Session smoke: authenticated landing + API","e2e/session/session-smoke.test.ts","",""
"","296","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","integration","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","1442","BK-157: PATCH /atcs/{id} absent X-If-Match → 200","smoke","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","540","BK-149: POST /atcs works for all layer values (UI, API, Unit)","smoke","2026-09-23","passed","2026-09-23","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
