"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","454","BK-158: PATCH /atcs/{id} returns 404 for non-existent id","integration","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","192","BK-152: POST /atcs rejects module outside user story subtree with 422","integration","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","293","BK-234: Auto-sync — new defect syncs and carries external ID","integration","2026-08-06","failed","2026-08-06","BK-43: TMS-Defect Sync","integration/defects/defect-sync.test.ts","",""
"","239","BK-155: POST /atcs returns error when user_story_id does not exist (no partial write)","sandbox","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","196","BK-150: POST /atcs rejects invalid token with 401","sandbox","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
"","10","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-06","passed","2026-08-06","","teardown/global.teardown.ts","",""
"","269","BK-8: POST /workspaces/{id}/projects rejects non-member → 403","integration","2026-08-06","passed","2026-08-06","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","260","BK-8: POST /workspaces/{id}/projects rejects name < 3 → 422","integration","2026-08-06","passed","2026-08-06","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","92","BK-307: POST /tests rejects empty title with 422","integration","2026-08-06","passed","2026-08-06","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","224","BK-166: POST /api/v1/auth/signin with non-existent email returns 401","sandbox","2026-08-06","passed","2026-08-06","BK-166: Auth email+password sign-in API","integration/auth/auth-signin.sandbox.ts","",""
"","289","BK-14: POST /api/v1/modules/{id}/user-stories creates story → 201","sandbox","2026-08-06","passed","2026-08-06","BK-14: User Story CRUD API","integration/user-story/user-story.sandbox.ts","",""
"","550","BK-157: PATCH /atcs/{id} honors matching X-If-Match → 200","integration","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","108","BK-150: POST /atcs rejects invalid token with 401","integration","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","204","BK-308: POST /tests returns 404 for non-existent ATC IDs","integration","2026-08-06","passed","2026-08-06","BK-27: Test Builder API","integration/tests/test-builder.test.ts","",""
"","542","BK-8: POST /workspaces/{id}/projects rejects duplicate name → 409","integration","2026-08-06","passed","2026-08-06","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.test.ts","",""
"","168","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","integration","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.test.ts","",""
"","490","BK-4: POST /api/v1/workspaces rejects duplicate slug → 409","sandbox","2026-08-06","passed","2026-08-06","BK-4/BK-8: Workspace & Project CRUD API","integration/workspace/workspace-project-crud.sandbox.ts","",""
"","327","BK-151: POST /atcs rejects AC that belongs to a different user story with 422","sandbox","2026-08-06","passed","2026-08-06","BK-18: ATC Create/Edit REST API","integration/atc/atc-create-edit.sandbox.ts","",""
